,creole,english
3,"bèñé, bèñ","['swim', ' bathe']"
4,bèt,"['stupid', ' animal']"
5,bétay,['livestock']
6,bezwin,['need']
7,(La)Bib,['Bible']
8,bisik,['bicycle']
9,biy,['bead']
10,blan,['white']
11,blanshi,['whitewash']
12,"blèsé, blès",['injure']
13,"bliyé, bliy",['forget']
14,bo-fis,['son-in-law']
15,bo-frær,['brother-in-law']
16,bo-pær,"['father-in-law', ' stepfather']"
17,bokou,"['many', ' very']"
18,bòl,['bowl']
19,bon,['good']
20,bon-marshé,['cheap']
21,Bondjè,['God']
22,bonjou,['interjhello']
23,Bonn fèt!,['phrHappy birthday!']
24,bonn-aryin,['good-for-nothing']
0,bonnœr,['early']
1,bonswa,"['interjgood evening', ' good night']"
2,bòs,['boss']
3,boskoyo,['cypress knee']
4,bòt,['boots']
5,(la)bou,['mud']
6,boudin,['boudin (sausage)']
7,boug,"['guy', ' man']"
8,"bouklé, bouk",['buckle']
9,(la)boukònn,['smoke']
10,boukònné,"['smoke (meat)', ' smoked']"
11,"boulværsé, boulværs","['upset', ' change suddenly']"
12,bounda,['butt']
13,(la)boush,['mouth']
14,(la)boushri,['boucherie']
15,bout,['end (of object)']
16,bout-d-tem,['nphra while']
17,boutéy,['bottle']
18,boutik,['store']
19,"bouyi, bouy",['boil']
20,bra,['arm']
21,branshaj,"['twigs', ' kindling']"
22,brenm,['eggplant']
23,"brilé, bril",['burn']
24,brilmen,['burn']
0,brilmen-lèstoma,['nphrheartburn']
1,"briyé, briy",['shine']
2,"brizé, briz",['shatter']
3,bwa,['drink']
4,bwason,['drink']
5,bwat,['box']
6,(la)byær,['beer']
7,byin,"['good', ' well', ' very']"
0,bèl-mær,"['mother-in-law', ' stepmother']"
1,bèl-sœr,['sister-in-law']
2,béñé,['beignet']
3,"bèñé, bèñ","['swim', ' bathe']"
4,bèt,"['stupid', ' animal']"
5,bétay,['livestock']
6,bezwin,['need']
7,(La)Bib,['Bible']
8,bisik,['bicycle']
9,biy,['bead']
10,blan,['white']
11,blanshi,['whitewash']
12,"blèsé, blès",['injure']
13,"bliyé, bliy",['forget']
14,bo-fis,['son-in-law']
15,bo-frær,['brother-in-law']
16,bo-pær,"['father-in-law', ' stepfather']"
17,bokou,"['many', ' very']"
18,bòl,['bowl']
19,bon,['good']
20,bon-marshé,['cheap']
21,Bondjè,['God']
22,bonjou,['interjhello']
23,Bonn fèt!,['phrHappy birthday!']
24,bonn-aryin,['good-for-nothing']
0,ça,"['prothat', ' what', ' it', ' they']"
1,ça-fé,['so']
2,ça...?,['what...?']
3,-ça(la)yé,['detthose']
4,-çala,['detthat']
5,çé,['be']
6,çé té,['it was']
7,chak,['drunk']
8,"chaké, chak",['get drunk']
9,"chéké, chèk",['check']
10,chi,['-chinsfxemphatic possessive']
11,(la)chirout,['diarrhea']
12,chombo,['hold']
13,"choué, chou",['kill']
14,-çi(la)yé,['detthese']
15,-çila,['detthis']
0,d(e),"['from', ' of']"
1,dærñær,['last']
2,dæryær,['behind']
3,dakòr,['agreed']
4,dan,['in']
5,"dansé, dans",['dance']
6,dé,['two']
7,dê,['some']
8,débout,"['standing', ' awake']"
9,défi,['challenge']
10,défwa,['sometimes']
11,dégouté,"['disgusted', ' depressed']"
12,"déjœné, déjœn","['breakfast', ' eat breakfast']"
13,dékourajé,"['discouraged', ' discourage']"
14,"déménajé, déménaj",['move house']
15,demi,['half (used in telling time)']
16,démin,['démoushmoush']
17,den,['tooth']
18,dépi,['dépwarpwar']
19,désann,"['go down', ' get off']"
0,désemb,['déshoushou']
1,dési,"['on top', ' over']"
2,dèt,"['be (imperative)', ' be (infinitive)']"
3,"détèsté, détès",['déværvær']
4,dévan,['in front of']
5,déyòr,['dézozo']
6,dézolé,['sorry']
7,dézòrd,['dézwitzwit']
8,dèzyèm,['second']
9,di,"['say', ' tell']"
10,dibœr,['butter']
11,dibonm,['mint']
12,dibwa,"['wood', ' woods']"
13,difé,['fire']
14,diféren,['different']
15,diférens,['difference']
16,difwin,['hay']
17,digri,['grits']
0,diji,['juice']
1,dilé,['milk']
2,dimansh,['Sunday']
3,Dimansh Ramo,['nphrPalm Sunday']
4,dimyèl,['honey']
5,"diné, dinn","['lunch', ' eat lunch']"
6,dipin,['bread']
7,"diré, dir",['last (for a while)']
8,diri,['rice']
9,dis,['ten']
10,dis-sèt,['seventeen']
11,disan,['blood']
12,disik,['sugar']
13,dité,['tea']
14,diven,['wind']
15,divin,['wine']
16,diz-nèf,['nineteen']
17,diz-wit,['eighteen']
18,djaz,['jazz']
19,djèp,['wasp']
20,djòb,['job']
21,(la)djœl,['mouth (informal)']
22,djòg,['jug']
23,do,['interjthough (discourse particle)']
24,dolo,['water']
0,dolo ho,['nphrflood']
1,domaj,"['shame', ' damage']"
2,donn,['give']
3,"dòrmi, dòr",['sleep']
4,dòt,['other']
5,dou,['sweet']
6,dousmen,"['slow', ' slowly']"
7,douz,['twelve']
8,drèt-la,"['right here', ' right then']"
9,dri,"['thick (with)', ' heavy']"
10,dròl,"['funny', ' weird']"
11,drwa,['right']
12,dur,"['hard', ' difficult']"
13,dursi,['harden']
14,dwa,"['have to', ' must']"
15,dwa,['finger']
0,désemb,['déshoushou']
1,dési,"['on top', ' over']"
2,dèt,"['be (imperative)', ' be (infinitive)']"
3,"détèsté, détès",['déværvær']
4,dévan,['in front of']
5,déyòr,['dézozo']
6,dézolé,['sorry']
7,dézòrd,['dézwitzwit']
8,dèzyèm,['second']
9,di,"['say', ' tell']"
10,dibœr,['butter']
11,dibonm,['mint']
12,dibwa,"['wood', ' woods']"
13,difé,['fire']
14,diféren,['different']
15,diférens,['difference']
16,difwin,['hay']
17,digri,['grits']
0,é,['and']
1,"èdé, èd",['help']
2,ègzamp,['example']
3,ékan,['when']
4,ékri,['write']
5,èksplozé,['explode']
6,èl,"['proshe', ' her (object and subject pronoun)']"
7,"èlvé, (è)lèv","['raise', ' grow']"
8,embarasé,"['bother', ' embarrass']"
9,"embrasé, embras","['hug', ' kiss']"
10,en,"['on', ' in']"
11,enba,"['below', ' under']"
12,endan,['inside']
13,endéyòr,"['outside', ' outside of']"
14,èndjòy,['enjoy']
15,enfamiy,['pregnant']
16,enho,"['on', ' above']"
17,enkòr,['yet']
18,enlær,"['up', ' on', ' above']"
19,"enmærdé, enmærd",['annoy']
20,ènn-a-lòt,['each other']
21,ennaryær,"['in back', ' behind']"
22,ennavan,['in front of']
23,ennwiyé,"['bored', ' lonesome']"
24,ensenm,['together']
0,Envil,['New Orleans']
1,épi,['and']
2,épis,['spice']
3,éroplènn,['airplane']
4,èske,['do you...?']
5,"èskizé, èskiz",['excuse']
6,èspær (pou),['wait (for)']
7,"étærné, étærn",['sneeze']
8,étidyan,['student']
9,"étidyé, étidi",['study']
10,étòné,['surprised']
11,"étoufé, étouf","['stew', ' smother']"
12,éyou,['where']
0,Envil,['New Orleans']
1,épi,['and']
2,épis,['spice']
3,éroplènn,['airplane']
4,èske,['do you...?']
5,"èskizé, èskiz",['excuse']
6,èspær (pou),['wait (for)']
7,"étærné, étærn",['sneeze']
8,étidyan,['student']
9,"étidyé, étidi",['study']
10,étòné,['surprised']
11,"étoufé, étouf","['stew', ' smother']"
12,éyou,['where']
0,fær-a-shwal,['horseshoe']
1,"færmé, færm","['close', ' shut']"
2,famiy,['family']
3,faroush,"['wild', ' untamed']"
4,fé,"['do', ' make']"
5,fé (sô) dévwa,"[""do one's homework""]"
6,fé (sô) lapriyè,"[""say (one's) prayers"", ' pray']"
7,fé (sô) ménaj,"[""do one's chores""]"
8,fé atensyon,['be careful']
9,fé fars,['joke']
10,fé grosri,['go grocery shopping']
11,fé kado,['give as a gift']
12,fé kòmærs,"['cause trouble', ' make a mess']"
13,fé lakònésans (avèk),['meet (someone for the first time)']
14,fé lakour,"['court', ' date']"
15,fé lougarou,['stay out late gallivanting']
16,fé mal,['hurt']
17,fé rékòlt,['farm']
18,fé særmen,['swear']
19,fé siñ lakrwa,['cross yourself']
20,fé sô nidé,"[""make up one's mind""]"
21,fé sosyété,['throw a party']
22,fé trin,['complain']
23,fé zan,['turn (an age)']
24,fé zyé dou (apré),['make eyes (at)']
0,fèb,['weak']
1,fenm,"['woman', ' wife']"
2,(la)fèt,"['birthday', ' party', ' holiday']"
3,févi,['okra']
4,fèvriyé,['February']
5,féy,['leaf']
6,fid,['animal feed']
7,(la)figur,['face']
8,fil,"['wire', ' string']"
9,fil-a-kroshé,['barbed wire']
10,filé,['filé']
11,fim,['hungry']
12,"fimé, fimm",['smoke tobacco']
13,fimyé,['manure']
14,fin,['end']
15,fin-lasmèn,['weekend']
16,(la)finèt,['window']
17,fini,"['finish', ' complete']"
18,fiy,"['girl', ' daughter']"
19,fiyèl,['goddaughter']
20,fiyo,['godson']
21,flèri,['bloom']
22,flœr,['flower']
23,fo,['false']
24,fò,['pho (Vietnamese soup)']
0,fon,"['deep', ' depths']"
1,fonn,['fun']
2,fonn,['phone']
3,"fònné, fònn",['wilt']
4,fonsé,['dark (of color)']
5,fòr,"['strong', ' loud']"
6,foré,['forest']
7,(la)fot,['fault']
8,fou,['crazy']
9,fou,['oven']
10,fou pa mal,"['not care', "" not give a flyin' fiddlestick""]"
11,foursh,['pitchfork']
12,fourshèt,['fork (for eating)']
13,foutimen,['extremely']
14,frær,['brother']
15,Françé; françé,['French']
16,frédi,['get cold']
17,frèsh,"['fresh', ' cool']"
18,(la)frèsh,"['breeze', ' shade', ' relief']"
19,frèt,['cold']
20,fri,['fry']
21,"frikasé, frikas","['fricassee', ' stew', ' stew']"
22,fromaj,['cheese']
23,frwi,['fruit']
24,fwa,['time']
0,fyær,['proud']
1,fyansé,['engaged']
0,fèb,['weak']
1,fenm,"['woman', ' wife']"
2,(la)fèt,"['birthday', ' party', ' holiday']"
3,févi,['okra']
4,fèvriyé,['February']
5,féy,['leaf']
6,fid,['animal feed']
7,(la)figur,['face']
8,fil,"['wire', ' string']"
9,fil-a-kroshé,['barbed wire']
10,filé,['filé']
11,fim,['hungry']
12,"fimé, fimm",['smoke tobacco']
13,fimyé,['manure']
14,fin,['end']
15,fin-lasmèn,['weekend']
16,(la)finèt,['window']
17,fini,"['finish', ' complete']"
18,fiy,"['girl', ' daughter']"
19,fiyèl,['goddaughter']
20,fiyo,['godson']
21,flèri,['bloom']
22,flœr,['flower']
23,fo,['false']
24,fò,['pho (Vietnamese soup)']
0,galimacha,"['jumble', ' mess']"
1,galopé laboush,"['chatter', "" run one's mouth""]"
2,"galopé, galòp","['run', ' manage']"
3,(la)galri,['porch']
4,"ganñé, ganñ","['win', ' earn']"
5,gar-manjé,['pantry']
6,garaj,['garage']
7,garçon,"['boy', ' son']"
8,"gardé, gar","['look at', ' seem like', ' watch']"
9,"garoshé, garòsh",['throw']
10,gato,['cake (general)']
11,gayar,['healthy']
12,gazolinn,['gasoline']
13,gém,['game']
14,géri,"['heal', ' cure']"
15,gérison,['cure']
16,"gèté, gèt","['watch', ' look at']"
17,gin,['have']
18,gin drwa,['allowed to']
19,gin lashans,['lucky']
20,gin lè,"['seem', ' appear']"
21,gin pœr,['afraid']
22,gin pou,['have to']
23,gin rézon,['right']
24,gin toupé,['have nerve']
0,gita,['guitar']
1,(la)glas,"['ice', ' ice cream', ' frost']"
2,glasyær,['refrigerator']
3,(la)gli,['slime']
4,gogo,['butt']
5,Gòlf,['Gulf of Mexico']
6,gombo,['gumbo']
7,gonn,"['leave', ' gone']"
8,gosh,"['left (as opposed to right)', ' awkward', ' clumsy']"
9,gout,['drop']
10,"gouté, gou",['taste']
11,gran,"['big', ' tall']"
12,gran-mær/gran-moman,['grandmother/grandma']
13,gran-moun,['grow-up']
14,gran-ouvær,['adjphrwide open']
15,gran-pær/gran-popa,['grandfather/grandpa']
16,gran-paren,['grandparents']
17,gran-ti-zenfan,['great-grandchild']
18,grandi,"['grow up', ' grow']"
19,"graté, grat",['scratch']
20,grènn,['seed']
21,gril,['grill']
22,"griyé, griy","['grill', ' roast']"
23,gro,"['big', ' fat']"
24,gro tem/mové tem,"['bad weather', ' storm']"
0,grosi,"['grow', ' grow up', ' get fat']"
1,(la)grosri,['grocery store']
2,"grouyé, grouy","['move', ' shake']"
0,gita,['guitar']
1,(la)glas,"['ice', ' ice cream', ' frost']"
2,glasyær,['refrigerator']
3,(la)gli,['slime']
4,gogo,['butt']
5,Gòlf,['Gulf of Mexico']
6,gombo,['gumbo']
7,gonn,"['leave', ' gone']"
8,gosh,"['left (as opposed to right)', ' awkward', ' clumsy']"
9,gout,['drop']
10,"gouté, gou",['taste']
11,gran,"['big', ' tall']"
12,gran-mær/gran-moman,['grandmother/grandma']
13,gran-moun,['grow-up']
14,gran-ouvær,['adjphrwide open']
15,gran-pær/gran-popa,['grandfather/grandpa']
16,gran-paren,['grandparents']
17,gran-ti-zenfan,['great-grandchild']
18,grandi,"['grow up', ' grow']"
19,"graté, grat",['scratch']
20,grènn,['seed']
21,gril,['grill']
22,"griyé, griy","['grill', ' roast']"
23,gro,"['big', ' fat']"
24,gro tem/mové tem,"['bad weather', ' storm']"
0,(la)hansh,['hip']
1,(la)hash,['axe']
2,hé!,['interjhey!']
3,"hélé, hèl","['yell', ' shout']"
4,hòl,['dancehall']
5,hont,['shame']
0,ibou,['owl']
1,ifo,['phrneed to (do something)']
2,imid,['humid']
3,impòrtan,['important']
4,impòsib,['impossible']
5,in,"['one', ' a(n)']"
6,in lòt/in nòt,['another']
7,in pe,['a little']
8,in ta,['nphra lot']
9,ina,['there is/are']
10,inavé,['there was/were']
11,inik,['unique']
12,Insiswatil,['phrAmen']
13,intérèsé,"['interesting', ' interested']"
14,isit,['here']
15,italyin,['Italian']
16,itil,['useful']
17,itou,"['also', ' too']"
18,izé,['easy']
19,"izé, iz",['use']
0,jakèt,['jacket']
1,jamb,['leg']
2,jambalaya,['jambalaya']
3,jamé,"['never', ' ever']"
4,janvyé,['January']
5,"japé, jap",['bark']
6,jardin,['garden']
7,jardinaj,['vegetables']
8,jédi,['Thursday']
9,"jélé, jèl",['freeze']
10,"jété, jèt","['throw', ' get rid of']"
11,jilyèt,['July']
12,jish,['just']
13,jiska,['until']
14,(la)jistis,['justice']
15,jnou,['knee']
16,jœn,['young']
17,joli,"['pretty', ' beautiful']"
18,jolimen,"['pretty much', ' essentially', ' basically']"
19,"jonglé, jong (pou/enho/apré)",['think about']
20,jonn,['yellow']
21,jòrdi,['today']
22,"joué, jou",['play']
23,jour,['day']
24,(la)journé,"['day', ' daytime']"
0,jozé,['blouse']
1,(la)jwa,['joy']
2,jwènn,['meet']
3,jwif,['Jewish']
4,jwin,['June']
0,jozé,['blouse']
1,(la)jwa,['joy']
2,jwènn,['meet']
3,jwif,['Jewish']
4,jwin,['June']
0,kabinèt,['closet']
1,kadjin,['Cajun']
2,Kadjin,['Cajun person']
3,kado,['gift']
4,kafé,['coffee']
5,kagou,['out of sorts']
6,kaka,['poop']
7,kalçon,['underwear']
8,kalin,"['boyfriend', ' lover (male)', ' lazy']"
9,kalinn,"['girlfriend', ' lover (female)']"
10,kalité,"['kind', ' type', ' sort']"
11,kammòmèl,['chamomile']
12,(la)kamponñ,"['country', ' countryside']"
13,kan,['when']
14,kanar,['duck']
15,kanay,"['cunning', ' mischievious', ' sly']"
16,kanminm,['although']
17,(dé)kann,['sugarcane']
18,kapab,"['able', ' can']"
19,kapitènn,['captain']
20,kapo,['coat']
21,karankro,"['buzzard', ' vulture', ' Carencro']"
22,karant,['forty']
23,karant-é-ènn,['fourty-one']
24,Karèm,['Lent']
0,Karnaval,['Mardi Gras']
1,karòt,['carrot']
2,kart,['card']
3,"kasé, kas","['break', ' crack', ' shuck', ' shell']"
4,kashé,"['hide', ' hidden']"
5,kat,['four']
6,Katolik,['Catholic']
7,katòrz,['fourteen']
8,katré-vin,['eighty']
9,katré-vin-dis,['ninety']
10,(la)kav,"['basement', ' pantry']"
11,kawènn,['snapping turtle']
12,kayé,['cottage cheese']
13,ke,"['than', ' that']"
14,(la)ké,['tail']
15,kék,['cake']
16,kèk,['some']
17,kèk plas,['somewhere']
18,kèk zafær,['something']
19,kèkènn,['prosomeone']
20,kèkènn dòt,['prosomeone else']
21,kèl,"['which', ' what']"
22,kèl...?,['what...?']
23,kèstyon,['question']
24,ki,"['who', ' what', ' that (in relative clauses)']"
0,ki ça...?,['what...?']
1,ki çé...?,['what...?']
2,ki moun,['conjphrwho']
3,ki...?,['what...?']
4,kiki,['onomhaha']
5,kilot,['pants']
6,kilot kout,['nphrshorts']
7,kinz,['fifteen']
8,kiréy,['squirrel']
9,kiriyé,"['curious', ' nosy']"
10,kishòj,"['thing', ' something']"
11,"kité, kit","['leave', ' let']"
12,kiyær,['spoon']
13,(la)kizinn,['kitchen']
14,klær,"['clear', ' light (said of skin)', ' clearly']"
15,klærmen,['clearly']
16,(la)klé,['key']
17,klo,['field']
18,klo lwil,['oilfield']
19,klœb,"['club', ' nightclub']"
20,klou,['nail']
21,klouk,['male genitalia']
22,"klouyé, klou",['nail']
23,kœr,['heart']
24,kòfær,['why']
0,kokiy,['shell']
1,kokodri,['alligator']
2,kolær,"['anger', ' angry']"
3,kòmærs,['gossip']
4,kombyin,['how many']
5,komen,['how']
6,"komensé, komens","['start', ' begin']"
7,komod,['toilet']
8,(la)kompoñi,['company (people)']
9,komprenn,['understand']
10,koné,"['know', ' can', ' able']"
11,koné,['do regularly']
12,"koñé, koñ","['hit', ' strike', ' bump']"
13,(la)kònésans,['act of meeting someone']
14,konm,['like']
15,konm-çi-kom-ça,['adjphrso-so']
16,konsèy,['advice']
17,konten,['happy']
18,kontiné,['continue']
19,konværsasyon,['conversation']
20,kòp,['cup']
21,kòrèk,"['correct', ' fine']"
22,korish,['rooster']
23,kòrn,['horn']
24,koshon,['pig']
0,koté,"['at', ' near']"
1,koton,['cotton']
2,kòton-mayi,['corncob']
3,kou,['neck']
4,koulœr,['color']
5,koundjay,['type of dance']
6,"koupé, koup",['cut']
7,(la)kour,['yard']
8,kouri,['go']
9,"koushé, koush","['go to bed', ' lie down']"
10,koushkoush,['cornbread with sugar and milk']
11,koushmar,['nightmare']
12,kout,['short']
13,"kouté, kout","['listen', ' cost']"
14,kouto,['knife']
15,kouvær,"['cloudy', ' covered']"
16,kouzin,['cousin (male or female)']
17,kouzinn,['cousin (female)']
18,"kozé, kòz",['chat']
19,krab,['crab']
20,krapo,['toad']
21,"krashé, krash",['spit']
22,krébis,['crawfish']
23,"krèvé, krèv",['die']
24,kréyòl,['Creole']
0,Kréyòl,['Creole person']
1,Krismis,['Christmas']
2,krò,"['believe', ' think']"
3,kròt,['poop']
4,kwa,['what']
5,kwi,['cook']
0,Karnaval,['Mardi Gras']
1,karòt,['carrot']
2,kart,['card']
3,"kasé, kas","['break', ' crack', ' shuck', ' shell']"
4,kashé,"['hide', ' hidden']"
5,kat,['four']
6,Katolik,['Catholic']
7,katòrz,['fourteen']
8,katré-vin,['eighty']
9,katré-vin-dis,['ninety']
10,(la)kav,"['basement', ' pantry']"
11,kawènn,['snapping turtle']
12,kayé,['cottage cheese']
13,ke,"['than', ' that']"
14,(la)ké,['tail']
15,kék,['cake']
16,kèk,['some']
17,kèk plas,['somewhere']
18,kèk zafær,['something']
19,kèkènn,['prosomeone']
20,kèkènn dòt,['prosomeone else']
21,kèl,"['which', ' what']"
22,kèl...?,['what...?']
23,kèstyon,['question']
24,ki,"['who', ' what', ' that (in relative clauses)']"
0,la,"['there', ' here', ' then']"
1,-la,['detthe']
2,"la, le, lê",['detthe']
3,laba,['lahanshhansh']
-1,,['lahashhash']
0,,['lajaj']
1,,['lajistisjistis']
2,,['lajournéjourné']
3,,['lajwajwa']
4,,['lakamponñkamponñ']
5,,['lakannkann']
6,,['lakavkav']
7,,['lakéké']
8,,['lakizinnkizinn']
9,,['lakléklé']
10,,['lakompoñikompoñi']
11,,['lakònésanskònésans']
12,,['lakourkour']
13,,['lalamplamp']
14,,['lalannglanng']
15,,['lalimyærlimyær']
16,,['lalinnlinn']
17,,['lalotrilotri']
18,,['LalwizyannLwizyann']
19,,['lamærmær']
20,,['lamèsmès']
21,,['lamézonmézon']
22,,['laminmin']
23,,['lamiraymiray']
-1,,['lamizærmizær']
0,,['lamizikmizik']
1,,['lamòchémòché']
2,,['lamòrmòr']
3,,['lamouramour']
4,,['lamourèamourè']
5,,['lamoutardmoutard']
7,(la)lamp,['lamp']
8,lañap,['lanèjnèj']
9,(la)lanng,['lapaypay']
10,lapé,['larimmrimm']
-1,,['larivyærrivyær']
1,larjen,['larozérozé']
2,las,['lashansshans']
3,lashas,['latizanntizann']
4,"lavé, lav",['lavilvil']
5,Lavilvil,['New Orleans']
6,Lavonn,['lavyannvyann']
0,lay,['garlic']
1,léçon,"['lesson', ' moral']"
2,lèd,['ugly']
3,légliz,['church']
4,léjé,"['light', ' thin']"
5,lékòl,['school']
6,léritaj,['heritage']
7,lès,"['east', ' eastern']"
8,"lésé, lès","['leave', ' let']"
9,lèskalyé,"['stairs', ' staircase']"
10,Lèspañol,"['Spanish (language)', ' Spaniard']"
11,lèspri,"['spirit', ' intelligence']"
12,lèstoma,"['belly', ' stomach']"
13,léta,['state']
14,Létazini,['USA']
15,lété,['summer']
16,létwal,['star']
17,"lévé, lèv","['get up', ' raise']"
18,lézar,['lézòtzòt']
19,li,"['prohe', ' she', ' it']"
20,liméro/niméro,['number']
21,limon,['lemon']
22,(la)limyær,['light']
23,lindi,['Monday']
0,linèt,['glasses']
1,linj,['clothes']
2,"linmé, linm","['love', ' like']"
3,(la)linn,['moon']
4,linstrumen,['musical instrument']
5,lir,['read']
6,lis,['list']
7,listwar,['story']
8,lit,['bed']
9,liv,"['book', ' pound (unit of measurement)']"
10,livær,['winter']
11,lœr,"['hour', "" o'clock""]"
12,lofis,['lombrajombraj']
13,lonch,['lunch']
14,lontem,['long time']
15,lontem pasé,['advphrlong time ago']
16,lopital,['hospital']
17,lòragan,"['hurricane', ' storm']"
18,lòt,['other']
19,lotòn,"['autumn', ' fall']"
20,(la)lotri,['lottery']
21,"loué, lou",['rent']
22,lougarou,['werewolf']
23,lour,['heavy']
0,louvraj,['work']
1,lwil,['oil']
2,lwin,['far']
3,(La)Lwizyann,['Louisiana']
-1,,['lahashhash']
0,,['lajaj']
1,,['lajistisjistis']
2,,['lajournéjourné']
3,,['lajwajwa']
4,,['lakamponñkamponñ']
5,,['lakannkann']
6,,['lakavkav']
7,,['lakéké']
8,,['lakizinnkizinn']
9,,['lakléklé']
10,,['lakompoñikompoñi']
11,,['lakònésanskònésans']
12,,['lakourkour']
13,,['lalamplamp']
14,,['lalannglanng']
15,,['lalimyærlimyær']
16,,['lalinnlinn']
17,,['lalotrilotri']
18,,['LalwizyannLwizyann']
19,,['lamærmær']
20,,['lamèsmès']
21,,['lamézonmézon']
22,,['laminmin']
23,,['lamiraymiray']
0,madamm,"['Mrs.', "" ma'am"", ' lady', ' wife']"
1,mær,['mother']
2,(la)mær,['ocean']
3,mærkrédi,['Wednesday']
4,Mærkrédi-dê-Senn,['nphrAsh Wednesday']
5,mærsi,['interjthanks']
6,mal,['evil']
7,mal-lagòrj/mal-de-gòrj,['nphrsore throat']
8,mal-latèt/mal-de-tèt,['nphrheadache']
9,mal-o-den,['toothache']
10,mal-o-do,['backache']
11,mal-o-kœr,['heartburn']
12,mal-o-vent,['stomach ache']
13,mal-zòrèy,['earache']
14,malad,['sick']
15,maléré,"['poor', ' unfortunate', ' sad']"
16,malèrèzmen,['unfortunately']
17,malgré,['although']
18,malin,"['clever', ' sly']"
19,"mandé, mand",['ask']
20,manjé,['food']
21,"manjé, manj",['eat']
22,"manké, mank","['miss', ' almost do something']"
23,mardi,['Tuesday']
24,marènn,['godmother']
0,mari,['husband']
1,maringwin,['mosquito']
2,"mariyé, mari",['marry']
3,maron,['brown']
4,mars,['March']
5,"marshé, marsh",['walk']
6,maryaj,['marriage']
7,mashinn,"['machine', ' motor']"
8,mayi,['corn']
9,mé,['May']
10,mé,['but']
11,médsinn,['medicine']
12,"mèlé, mèl",['mix']
13,méli-mélanj,['mix']
14,"ménajé, ménaj","['use sparingly', ' economize']"
15,"ménné, mènn","['bring', ' haul']"
16,ménné/fé lembara,['cause trouble']
17,"menti, men",['lie']
18,Mérikin,"['American', ' English language']"
19,(la)mès,"['church', ' mass']"
20,mèsi,['interjthanks']
21,mèt,"['put', ' put on']"
22,mèt-(d)-lékol/mèt,['nphrteacher (male)']
23,métrès,['nphrteacher (female)']
24,méyœr,"['better', ' best']"
0,(la)mézon,['house']
1,midi,['noon']
2,mil,"['thousand', ' mile']"
3,milé,['mule']
4,(la)min,['hand']
5,minm,"['same', ' even']"
6,-minm,"['proreflexive pronoun', ' -self']"
7,minn,['mean']
8,mir,['ripe']
9,(dé)mir,['berry']
10,(la)miray,['wall']
11,miryaj,['cloud']
12,misyé,"['Mr.', ' sir', ' gentleman']"
13,(la)mizær,"['misery', ' trouble']"
14,(la)mizik,['music']
15,mizisyin,['musician']
16,(dé)mlon,['melon']
17,mo,['proI (subject)']
18,mò,['prome (object)']
19,mô,['detmy']
20,(la)mòché,['half of']
21,mòché-frær,['half-brother']
22,mòché-sœr,['half-sister']
23,moman,['mom']
24,montañ,['mountain']
0,"monté, mont",['ride']
